group|detection_smarts|smarts|contribute|composed|molecular_weight|group_number
CH3NH|[CH3][NX3H][!$([CH](=O));!$(C(=O)[!N]);!$([cH0])]|[CH3][NX3H]|"{""CH3NH"": 1, ""CH3"": -1}"|n|30.05|57
CH2NH|[CX4H2;!R][NX3H][$([!$([CH](=O));!$(C(=O)[!N])]);!$([cH0]);!$([CH3])]|[CX4H2;!R][NX3H]|"{""CH2NH"": 1, ""CH2"": -1}"|n|29.042|58
CHNH|[CX4H;!R][NX3H][$([!$([CH](=O));!$(C(=O)[!N])]);!$([cH0]);!$([CH3]);!$([CH2])]|[CX4H;!R][NX3H]|"{""CHNH"": 1, ""CH"": -1}"|n|28.034|59
CH3N|[CH3][NX3H0]([!$([CH](=O));!$(C(=O)[!N]);!$([cH0])])[!$([CH](=O));!$(C(=O)[!N]);!$([cH0])]|[CH3][NX3H0]|"{""CH3N"": 1, ""CH3"": -1}"|n|29.042|60
CH2N|[CX4H2;!R][NX3H0]([$([!$([CH](=O));!$(C(=O)[!N])]);!$([cH0]);!$([CH3])])[$([!$([CH](=O));!$(C(=O)[!N])]);!$([cH0]);!$([CH3])]|[CX4H2;!R][NX3H0]|"{""CH2N"": 1, ""CH2"": -1}"|n|28.034|61
aC-NH2|[cH0][NH2]||"{""aC-NH2"": 1, ""aC except as above"": -1, ""NH2 except as above"": -1}"|y|28.0342|62
aC-NH|[cH0][NX3H][$([!$([CH](=O));!$(C(=O)[!N])])]|[cH0][NX3H]|"{""aC-NH"": 1, ""aC except as above"": -1}"|n|27.0262|63
aC-N|[cH0][NX3H0][$([!$([CH](=O));!$(C(=O)[!N])])]|[cH0][NX3H0]|"{""aC-N"": 1, ""aC except as above"": -1}"|n|26.0184|64
NH2 except as above|[NH2]||"{""NH2 except as above"": 1}"|n|16.0226|65
CH=N|[CH;!R]=[NH0]||"{""CH=N"": 1}"|n|27.0258|66
C=N|[CH0;!R]=[NH0][!$([CH;!R])]|[CH0;!R]=[NH0]|"{""C=N"": 1}"|n|26.018|67
CH2CN|[CH2;!R][C]#[N]||"{""CH2CN"": 1, ""CH2"": -1, ""CN except as above"": -1}"|y|40.045|68
CHCN|[CH;!R][C]#[N]||"{""CHCN"": 1, ""CH"": -1, ""CN except as above"": -1}"|y|39.0372|69
CCN|[CH0;!R][C]#[N]||"{""CCN"": 1, ""C"": -1, ""CN except as above"": -1}"|y|38.0294|70
aC-CN|[cH0][C]#[N]||"{""aC-CN"": 1, ""aC except as above"": -1, ""CN except as above"": -1}"|y|38.0294|71
CN except as above|[C;!R]#[N]||"{""CN except as above"": 1}"|n|26.018|72
CH2NCO|[CH2][NH0]=[C]=[O]||"{""CH2NCO"": 1, ""CH2"": -1}"|n|56.0436|73
CHNCO|[CH][NH0]=[C]=[O]||"{""CHNCO"": 1, ""CH"": -1}"|n|55.0358|74
CNCO|[CH0][NH0]=[C]=[O]||"{""CNCO"": 1, ""C"": -1}"|n|54.028|75
aC-NCO|[cH0][NH0]=[C]=[O]||"{""aC-NCO"": 1, ""aC except as above"": -1}"|n|54.028|76
CH2NO2|[CH2]N(=O)(=O)||"{""CH2NO2"": 1, ""CH2"": -1, ""NO2 except as above"": -1}"|y|60.032|77
CHNO2|[CH]N(=O)(=O)||"{""CHNO2"": 1, ""CH"": -1, ""NO2 except as above"": -1}"|y|59.024|78
CNO2|[CH0]N(=O)(=O)||"{""aC-NO2"": 1, ""aC except as above"": -1, ""NO2 except as above"": -1}"|y|58.016|79
aC-NO2|[cH0]N(=O)(=O)||"{""aC-NO2"": 1, ""aC except as above"": -1, ""NO2 except as above"": -1}"|y|58.016|80
NO2 except as above|N(=O)(=O)||"{""NO2 except as above"": 1}"|n|46.005|81
ONO|[NH](O)=O||"{""ONO"": 1, ""-O-"": -1}"|n|30.006|82
ONO2|[O][NH0](=O)=O||"{""ONO2"": 1, ""-O-"": -1, ""NO2 except as above"": -1}"|y|62.004|83
HCON(CH2)2|[*][CH2]N([CH2][*])[CH]=O|[CH2]N([CH2])[CH]=O|"{""HCON(CH2)2"": 1, ""CH2N"": -2}"|n|71.078|84
HCONHCH2|[*][CH2][NH][CH]=O|[CH2][NH][CH]=O|"{""HCONHCH2"": 1, ""CH2NH"": -1}"|n|71.078|85
CONH2|[CH0](=O)([NH2])||"{""CONH2"": 1, "">CO"": -1, ""NH2 except as above"": -1}"|y|44.0326|86
CONHCH3|[CH0](=O)([NH][CH3])||"{""CONHCH3"": 1, "">CO"": -1, ""CH3NH"": -1}"|y|58.0592|87
CONHCH2|[CH0](=O)([NH][CH2])||"{""CONHCH2"": 1, "">CO"": -1, ""CH2NH"": -1}"|n|57.0514|88
CON(CH3)2|[CH0](=O)([N]([CH3])[CH3])||"{""CON(CH3)2"": 1, "">CO"": -1, ""CH3N"": -2}"|y|72.0858|89
CONCH3CH2|[CH0](=O)([N]([CH3])[CH2])||"{""CONCH3CH2"": 1, "">CO"": -1, ""CH3N"": -1, ""CH2N"": -1}"|y|71.078|90
CON(CH2)2|[CH0](=O)([N]([CH2])[CH2])||"{""CON(CH2)2"": 1, "">CO"": -1, ""CH2N"": -2}"|y|70.0702|91
CONHCO|[CH0](=O)[NH][CH0](=O)||"{""CONHCO"": 1}"|n|71.0348|92
CONCO|[CH0](=O)[NH0][CH0](=O)||"{""CONCO"": 1}"|n|70.027|93
aC-CONH2|[cH0][CH0](=O)[NH2]||"{""aC-CONH2"": 1, ""aC except as above"": -1}"|n|56.0436|94
aC-NH(CO)H|[cH0][NH][CH]=O||"{""aC-NH(CO)H"": 1, ""aC except as above"": -1}"|n|56.0436|95
aC-N(CO)H|[cH0][NH0][CH]=O||"{""aC-N(CO)H"": 1, ""aC except as above"": -1}"|n|55.0358|96
